index|query|topic|time_period|adjective
308|Were there any documented concepts or automatons in ancient civilizations, such as those described in the works of Greek mathematician Archytas of Tarentum (c. 350 BCE), that can be retrospectively identified as precursors to modern Artificial Intelligence?|artificial intelligence|ancient|significant
309|What was the approximate percentage increase in global average sea level from 1980 to 2020, according to data from the National Oceanic and Atmospheric Administration (NOAA)?|climate change|modern|intriguing
310|In what year was AlphaFold, a deep learning model developed by DeepMind, first able to predict the 3D structure of proteins with high accuracy, marking a significant breakthrough in the application of artificial intelligence to biology?|artificial intelligence|modern|significant
311|Was the concept of virtual reality, as we understand it today, explicitly mentioned or conceptualized in any published works or patents between 1760 and 1840, coinciding with the Industrial Revolution period in Europe and North America?|virtual reality|industrial revolution|significant
312|Did any ancient civilization, prior to the 5th century AD, employ a network of interconnected devices or sensors, akin to modern IoT principles, to manage or automate aspects of their infrastructure, such as water supply systems, irrigation, or public lighting?|internet of things|ancient|significant
313|What physical security measure, akin to a form of two-factor authentication, did medieval castles often employ to control access to the portcullis, requiring both something one had (a key) and something one knew (a password or signal)?|cybersecurity|medieval|interesting
314|What percentage of virtual reality (VR) headsets sold worldwide in 2020 were standalone devices, not requiring a PC or console to operate, according to market research from Statista?|virtual reality|contemporary|important
315|What was the average annual increase in global sea levels (in millimeters) from 1993 to 2018, according to satellite altimetry data from the National Oceanic and Atmospheric Administration (NOAA)?|climate change|modern|important
316|"What year did the first implementation of a primitive Internet of Things (IoT) concept, the ""Telegraphone"", emerge during the Industrial Revolution, allowing for the remote monitoring of industrial processes through telegraph lines?"|internet of things|industrial revolution|interesting
317|What year would hypothetical IoT-like concepts, such as Leonardo da Vinci's automated mechanical knight (circa 1495), have first appeared in written records during the European Renaissance, assuming IoT is defined as interconnected devices with autonomous or semi-autonomous functionality?|internet of things|renaissance|interesting
318|"Did the ancient Greek philosopher Aristotle, in his work ""De Anima"" (circa 350 BCE), describe a conceptual precursor to modern augmented reality by discussing the overlay of perceived reality with imagined or projected information through the use of polished bronze shields as reflective surfaces?"|augmented reality|ancient|interesting
319|What year did the first decentralized cryptocurrency, Bitcoin, utilize blockchain technology to facilitate its inaugural transaction, marking the beginning of widespread blockchain adoption in the modern period?|blockchain|modern|important
